index	name	red	green	blue	alpha
356	7Networks_RH_Cont_pCun_1	233.0	147.0	35.0	255.0
357	7Networks_RH_Cont_pCun_2	233.0	147.0	36.0	255.0
358	7Networks_RH_Cont_Cing_1	233.0	147.0	34.0	255.0
359	7Networks_RH_Cont_Cing_2	233.0	147.0	37.0	255.0
360	7Networks_RH_Cont_PFCmp_1	234.0	148.0	37.0	255.0
361	7Networks_RH_Cont_PFCmp_2	234.0	148.0	38.0	255.0
362	7Networks_RH_Default_Par_1	209.0	62.0	76.0	255.0
363	7Networks_RH_Default_Par_2	209.0	62.0	78.0	255.0
364	7Networks_RH_Default_Par_3	209.0	62.0	79.0	255.0
365	7Networks_RH_Default_Par_4	209.0	62.0	80.0	255.0
366	7Networks_RH_Default_Par_5	209.0	62.0	81.0	255.0
367	7Networks_RH_Default_Temp_1	209.0	61.0	76.0	255.0
368	7Networks_RH_Default_Temp_2	209.0	61.0	77.0	255.0
369	7Networks_RH_Default_Temp_3	209.0	61.0	79.0	255.0
370	7Networks_RH_Default_Temp_4	209.0	61.0	80.0	255.0
371	7Networks_RH_Default_Temp_5	209.0	61.0	81.0	255.0
372	7Networks_RH_Default_Temp_6	209.0	61.0	82.0	255.0
373	7Networks_RH_Default_Temp_7	209.0	61.0	83.0	255.0
374	7Networks_RH_Default_Temp_8	209.0	61.0	84.0	255.0
375	7Networks_RH_Default_PFCv_1	209.0	61.0	78.0	255.0
376	7Networks_RH_Default_PFCv_2	209.0	62.0	77.0	255.0
377	7Networks_RH_Default_PFCv_3	209.0	62.0	82.0	255.0
378	7Networks_RH_Default_PFCv_4	209.0	62.0	83.0	255.0
379	7Networks_RH_Default_PFCdPFCm_1	208.0	62.0	73.0	255.0
380	7Networks_RH_Default_PFCdPFCm_2	208.0	62.0	74.0	255.0
381	7Networks_RH_Default_PFCdPFCm_3	208.0	62.0	75.0	255.0
382	7Networks_RH_Default_PFCdPFCm_4	208.0	62.0	76.0	255.0
383	7Networks_RH_Default_PFCdPFCm_5	208.0	62.0	77.0	255.0
384	7Networks_RH_Default_PFCdPFCm_6	208.0	62.0	79.0	255.0
385	7Networks_RH_Default_PFCdPFCm_7	208.0	62.0	80.0	255.0
386	7Networks_RH_Default_PFCdPFCm_8	208.0	62.0	81.0	255.0
387	7Networks_RH_Default_PFCdPFCm_9	208.0	62.0	82.0	255.0
388	7Networks_RH_Default_PFCdPFCm_10	208.0	62.0	83.0	255.0
